old_fqn,new_fqn,reason
layout::tests::all_lines_overflowing_saturates_to_newest_line,layout::visible_window_tests::all_lines_overflowing_saturates_to_newest_line,theme_split
layout::tests::both_axes_omitted_cursor_move_is_complete_noop,layout::cursor_tests::both_axes_omitted_cursor_move_is_complete_noop,theme_split
layout::tests::char_by_char_is_off_path_non_regression_anchor,layout::segmented_tests::char_by_char_is_off_path_non_regression_anchor,theme_split
layout::tests::consecutive_newlines_accumulate_into_single_flush,layout::wrap_tests::consecutive_newlines_accumulate_into_single_flush,theme_split
layout::tests::cursor_all_axes_degraded_is_complete_noop,layout::cursor_tests::cursor_all_axes_degraded_is_complete_noop,theme_split
layout::tests::cursor_and_pending_newline_compose_per_axis,layout::cursor_tests::cursor_and_pending_newline_compose_per_axis,theme_split
layout::tests::cursor_degrade_warns_once_per_actor_per_branch,layout::cursor_tests::cursor_degrade_warns_once_per_actor_per_branch,theme_split
layout::tests::cursor_flush_orders_after_pending_newline_and_overrides_it,layout::cursor_tests::cursor_flush_orders_after_pending_newline_and_overrides_it,theme_split
layout::tests::cursor_move_commits_line_and_overrides_next_glyph_axes,layout::cursor_tests::cursor_move_commits_line_and_overrides_next_glyph_axes,theme_split
layout::tests::cursor_move_em_and_lh_units_place_next_glyph_through_layout,layout::cursor_tests::cursor_move_em_and_lh_units_place_next_glyph_through_layout,theme_split
layout::tests::cursor_move_single_axis_leaves_other_axis_unchanged,layout::cursor_tests::cursor_move_single_axis_leaves_other_axis_unchanged,theme_split
layout::tests::cursor_omitted_and_valid_axes_do_not_warn,layout::cursor_tests::cursor_omitted_and_valid_axes_do_not_warn,theme_split
layout::tests::cursor_to_image_px_converts_absolute_units_with_origin,layout::cursor_tests::cursor_to_image_px_converts_absolute_units_with_origin,theme_split
layout::tests::cursor_to_image_px_degenerate_forms_return_none,layout::cursor_tests::cursor_to_image_px_degenerate_forms_return_none,theme_split
layout::tests::cursor_to_image_px_zero_value_maps_to_origin,layout::cursor_tests::cursor_to_image_px_zero_value_maps_to_origin,theme_split
layout::tests::deferred_newline_semantics_unchanged_under_segmented,layout::segmented_tests::deferred_newline_semantics_unchanged_under_segmented,theme_split
layout::tests::deferred_rules_hold_in_vertical_modes,layout::wrap_tests::deferred_rules_hold_in_vertical_modes,theme_split
layout::tests::deferred_semantics_same_input_yields_identical_output,layout::wrap_tests::deferred_semantics_same_input_yields_identical_output,theme_split
