old_fqn,new_fqn,reason
plan::tests::ops_ordered_by_layer_ascending,plan::ops_tests::ops_ordered_by_layer_ascending,theme_split
plan::tests::same_layer_keeps_appearance_order,plan::ops_tests::same_layer_keeps_appearance_order,theme_split
plan::tests::derivation_is_deterministic,plan::ops_tests::derivation_is_deterministic,theme_split
plan::tests::unresolved_binding_is_skipped,plan::ops_tests::unresolved_binding_is_skipped,theme_split
plan::tests::transform_propagates_as_translation,plan::ops_tests::transform_propagates_as_translation,theme_split
plan::tests::appends_without_clearing,plan::ops_tests::appends_without_clearing,theme_split
plan::tests::missing_surface_pushes_nothing,plan::ops_tests::missing_surface_pushes_nothing,theme_split
plan::tests::active_binds_descend_default_draws_in_id_ascending_order,plan::ops_tests::active_binds_descend_default_draws_in_id_ascending_order,theme_split
plan::tests::active_binds_ascend_draws_in_id_descending_order,plan::ops_tests::active_binds_ascend_draws_in_id_descending_order,theme_split
plan::tests::only_binds_in_bindset_are_included,plan::ops_tests::only_binds_in_bindset_are_included,theme_split
plan::tests::bind_only_surface_produces_layers_from_nonempty_bindset,plan::ops_tests::bind_only_surface_produces_layers_from_nonempty_bindset,theme_split
plan::tests::static_elements_precede_bind_layers,plan::ops_tests::static_elements_precede_bind_layers,theme_split
plan::tests::sentinel_pattern0_is_skipped,plan::ops_tests::sentinel_pattern0_is_skipped,theme_split
plan::tests::bind_derivation_is_deterministic,plan::ops_tests::bind_derivation_is_deterministic,theme_split
plan::tests::nested_pattern0_offset_is_applied_to_element_transform,plan::ops_tests::nested_pattern0_offset_is_applied_to_element_transform,theme_split
plan::tests::self_reference_does_not_overflow_and_yields_partial_result,plan::ops_tests::self_reference_does_not_overflow_and_yields_partial_result,theme_split
plan::tests::mutual_reference_cycle_is_pruned_without_overflow,plan::ops_tests::mutual_reference_cycle_is_pruned_without_overflow,theme_split
plan::tests::offset_accumulates_across_multilevel_nesting,plan::ops_tests::offset_accumulates_across_multilevel_nesting,theme_split
plan::tests::noncyclic_shared_child_expands_on_each_path,plan::ops_tests::noncyclic_shared_child_expands_on_each_path,theme_split
plan::tests::cyclic_derivation_is_deterministic,plan::ops_tests::cyclic_derivation_is_deterministic,theme_split
plan::tests::pattern0_less_bind_contributes_no_ops,plan::ops_tests::pattern0_less_bind_contributes_no_ops,theme_split
plan::tests::coexisting_pattern0_and_pattern1_composes_only_index0,plan::ops_tests::coexisting_pattern0_and_pattern1_composes_only_index0,theme_split
plan::tests::non_overlay_koma_warns_and_is_not_drawn_replacing_pattern0,plan::ops_tests::non_overlay_koma_warns_and_is_not_drawn_replacing_pattern0,theme_split
plan::tests::non_overlay_pattern0_warns_and_is_not_drawn,plan::ops_tests::non_overlay_pattern0_warns_and_is_not_drawn,theme_split
plan::tests::overlay_koma_is_drawn_and_replaces_same_id_pattern0,plan::ops_tests::overlay_koma_is_drawn_and_replaces_same_id_pattern0,theme_split
plan::tests::merged_ids_preserve_id_ascending_painter_order,plan::ops_tests::merged_ids_preserve_id_ascending_painter_order,theme_split
plan::tests::empty_pattern_state_yields_identical_ops_to_pre_merge,plan::ops_tests::empty_pattern_state_yields_identical_ops_to_pre_merge,theme_split
plan::tests::koma_only_id_without_bind_pattern0_is_drawn,plan::ops_tests::koma_only_id_without_bind_pattern0_is_drawn,theme_split
plan::tests::extent_is_independent_of_bindset,plan::extent_tests::extent_is_independent_of_bindset,theme_split
plan::tests::extent_unions_inactive_bind_contribution,plan::extent_tests::extent_unions_inactive_bind_contribution,theme_split
plan::tests::placement_none_skipped_from_ops_but_counted_in_extent,plan::extent_tests::placement_none_skipped_from_ops_but_counted_in_extent,theme_split
plan::tests::negative_offset_is_clipped_and_origin_stays_fixed,plan::extent_tests::negative_offset_is_clipped_and_origin_stays_fixed,theme_split
plan::tests::extent_equals_base_original_when_no_larger_layers,plan::extent_tests::extent_equals_base_original_when_no_larger_layers,theme_split
plan::tests::extent_is_deterministic,plan::extent_tests::extent_is_deterministic,theme_split
plan::tests::build_plan_absent_surface_is_surface_not_found,plan::extent_tests::build_plan_absent_surface_is_surface_not_found,theme_split
plan::tests::build_plan_all_transparent_is_ok_empty_ops_nonzero_extent,plan::extent_tests::build_plan_all_transparent_is_ok_empty_ops_nonzero_extent,theme_split
plan::tests::build_plan_empty_bindset_bind_only_is_ok_empty_ops_nonzero_extent,plan::extent_tests::build_plan_empty_bindset_bind_only_is_ok_empty_ops_nonzero_extent,theme_split
plan::tests::build_plan_no_layers_degenerate_is_empty_composition,plan::extent_tests::build_plan_no_layers_degenerate_is_empty_composition,theme_split
plan::tests::build_plan_populated_surface_is_ok_with_nonempty_ops,plan::extent_tests::build_plan_populated_surface_is_ok_with_nonempty_ops,theme_split
plan::tests::build_plan_clears_scratch_and_is_deterministic,plan::extent_tests::build_plan_clears_scratch_and_is_deterministic,theme_split
scale::tests::resample_identity_is_byte_copy,scale::resample_tests::resample_identity_is_byte_copy,theme_split
scale::tests::resample_extent_matches_scaled_extent,scale::resample_tests::resample_extent_matches_scaled_extent,theme_split
scale::tests::resample_two_times_matches_golden,scale::resample_tests::resample_two_times_matches_golden,theme_split
scale::tests::resample_five_quarters_is_deterministic_golden,scale::resample_tests::resample_five_quarters_is_deterministic_golden,theme_split
scale::tests::resample_downscale_matches_oracle_and_golden,scale::resample_tests::resample_downscale_matches_oracle_and_golden,theme_split
scale::tests::resample_preserves_premultiplied_invariant,scale::resample_tests::resample_preserves_premultiplied_invariant,theme_split
scale::tests::resample_clamps_at_edges,scale::resample_tests::resample_clamps_at_edges,theme_split
scale::tests::resample_zero_extent_is_empty_and_warns,scale::resample_tests::resample_zero_extent_is_empty_and_warns,theme_split
scale::tests::resample_reuses_output_buffer_without_residue,scale::resample_tests::resample_reuses_output_buffer_without_residue,theme_split
scale::tests::resample_alpha_varying_downscale_is_premultiplied_golden,scale::resample_tests::resample_alpha_varying_downscale_is_premultiplied_golden,theme_split
scale::tests::resample_alpha_varying_upscale_is_premultiplied_golden,scale::resample_tests::resample_alpha_varying_upscale_is_premultiplied_golden,theme_split
scale::tests::new_reduces_to_canonical_form,scale::ratio_tests::new_reduces_to_canonical_form,theme_split
scale::tests::new_rejects_zero,scale::ratio_tests::new_rejects_zero,theme_split
scale::tests::one_is_canonical_identity,scale::ratio_tests::one_is_canonical_identity,theme_split
scale::tests::eq_and_hash_are_strict_on_canonical_form,scale::ratio_tests::eq_and_hash_are_strict_on_canonical_form,theme_split
scale::tests::is_identity_holds_only_for_one,scale::ratio_tests::is_identity_holds_only_for_one,theme_split
scale::tests::mul_composes_and_reduces,scale::ratio_tests::mul_composes_and_reduces,theme_split
scale::tests::mul_uses_wide_intermediate_without_wrapping,scale::ratio_tests::mul_uses_wide_intermediate_without_wrapping,theme_split
scale::tests::mul_degrades_proportionally_when_product_exceeds_u32,scale::ratio_tests::mul_degrades_proportionally_when_product_exceeds_u32,theme_split
scale::tests::mul_degradation_emits_warn_log,scale::ratio_tests::mul_degradation_emits_warn_log,theme_split
scale::tests::as_f32_yields_exact_dpi_values,scale::ratio_tests::as_f32_yields_exact_dpi_values,theme_split
scale::tests::dpi_table_scaled_extent_is_deterministic,scale::ratio_tests::dpi_table_scaled_extent_is_deterministic,theme_split
scale::tests::scale_len_rounds_half_away_from_zero,scale::ratio_tests::scale_len_rounds_half_away_from_zero,theme_split
scale::tests::scale_len_clamps_nonzero_to_min_one_pixel,scale::ratio_tests::scale_len_clamps_nonzero_to_min_one_pixel,theme_split
scale::tests::scale_len_zero_stays_zero,scale::ratio_tests::scale_len_zero_stays_zero,theme_split
scale::tests::identity_scale_is_passthrough,scale::ratio_tests::identity_scale_is_passthrough,theme_split
scale::tests::scale_len_handles_large_extents_without_overflow,scale::ratio_tests::scale_len_handles_large_extents_without_overflow,theme_split
scale::tests::scale_len_half_tie_pairs_pin_round_half_away_from_zero,scale::ratio_tests::scale_len_half_tie_pairs_pin_round_half_away_from_zero,theme_split
scale::tests::mul_is_commutative_and_associative,scale::ratio_tests::mul_is_commutative_and_associative,theme_split
scale::tests::mul_saturating_degradation_pins_largest_to_u32_max,scale::ratio_tests::mul_saturating_degradation_pins_largest_to_u32_max,theme_split
scale::tests::as_f32_is_query_view_not_dimension_authority,scale::ratio_tests::as_f32_is_query_view_not_dimension_authority,theme_split
scale::tests::scale_len_u128_intermediate_beats_u64_overflow,scale::ratio_tests::scale_len_u128_intermediate_beats_u64_overflow,theme_split
scale::tests::unscale_coord_is_exact_identity_for_k_one,scale::ratio_tests::unscale_coord_is_exact_identity_for_k_one,theme_split
scale::tests::unscale_coord_k2_table_pins_pixel_center_inverse,scale::ratio_tests::unscale_coord_k2_table_pins_pixel_center_inverse,theme_split
scale::tests::unscale_coord_k54_table_pins_non_divisible_reduction,scale::ratio_tests::unscale_coord_k54_table_pins_non_divisible_reduction,theme_split
scale::tests::unscale_coord_k76_final_column_maps_outside_native_extent,scale::ratio_tests::unscale_coord_k76_final_column_maps_outside_native_extent,theme_split
scale::tests::unscale_coord_is_monotonic_non_decreasing,scale::ratio_tests::unscale_coord_is_monotonic_non_decreasing,theme_split
scale::tests::unscale_coord_saturates_at_i64_extremes_for_k_below_one,scale::ratio_tests::unscale_coord_saturates_at_i64_extremes_for_k_below_one,theme_split
golden_tests::surface0_element0_single_layer_equals_inserted_image,golden_tests::surface0_base_tests::surface0_element0_single_layer_equals_inserted_image,theme_split
golden_tests::surface0_golden_is_non_vacuous,golden_tests::surface0_base_tests::surface0_golden_is_non_vacuous,theme_split
golden_tests::surface1000_is_all_bind_no_static_elements,golden_tests::surface1000_bind_tests::surface1000_is_all_bind_no_static_elements,theme_split
golden_tests::surface1000_empty_bindset_is_fully_transparent_with_nonzero_extent,golden_tests::surface1000_bind_tests::surface1000_empty_bindset_is_fully_transparent_with_nonzero_extent,theme_split
golden_tests::surface1000_nonempty_bindset_is_non_blank,golden_tests::surface1000_bind_tests::surface1000_nonempty_bindset_is_non_blank,theme_split
golden_tests::surface1000_bind_count_overlap_point_sampling,golden_tests::surface1000_bind_tests::surface1000_bind_count_overlap_point_sampling,theme_split
golden_tests::surface0_trimmed_composite_equals_untrimmed_placement,golden_tests::trim_equivalence_tests::surface0_trimmed_composite_equals_untrimmed_placement,theme_split
golden_tests::surface0_trim_equivalence_is_non_vacuous,golden_tests::trim_equivalence_tests::surface0_trim_equivalence_is_non_vacuous,theme_split
golden_tests::surface1000_compose_is_byte_deterministic,golden_tests::determinism_budget_tests::surface1000_compose_is_byte_deterministic,theme_split
golden_tests::surface1000_compose_into_two_fresh_buffers_are_byte_equal,golden_tests::determinism_budget_tests::surface1000_compose_into_two_fresh_buffers_are_byte_equal,theme_split
golden_tests::surface1000_recompose_steady_state_zero_allocation,golden_tests::determinism_budget_tests::surface1000_recompose_steady_state_zero_allocation,theme_split
golden_tests::surface1000_build_plan_scratch_capacity_is_stable,golden_tests::determinism_budget_tests::surface1000_build_plan_scratch_capacity_is_stable,theme_split
golden_tests::surface1000_instruction_count_is_linear_in_layers,golden_tests::determinism_budget_tests::surface1000_instruction_count_is_linear_in_layers,theme_split
golden_tests::emo2_blink_binds_are_statically_inactive,golden_tests::blink_static_tests::emo2_blink_binds_are_statically_inactive,theme_split
golden_tests::emo2_blink_binds_lack_pattern0_but_frames_are_resolvable,golden_tests::blink_static_tests::emo2_blink_binds_lack_pattern0_but_frames_are_resolvable,theme_split
golden_tests::kero_blink_frames_fit_within_base_extent,golden_tests::frame_extent_tests::kero_blink_frames_fit_within_base_extent,theme_split
golden_tests::sakura_blink_frames_fit_within_base_extent,golden_tests::frame_extent_tests::sakura_blink_frames_fit_within_base_extent,theme_split
