old_fqn,new_fqn,reason
dispatcher::tests::cancel_choice_forwards_close_and_keeps_slot_so_talkdone_reaches_kanade,dispatcher::choice_tests::cancel_choice_forwards_close_and_keeps_slot_so_talkdone_reaches_kanade,theme_split
dispatcher::tests::cancel_choice_relay_failure_after_talk_vanished_is_recorded_at_debug_and_continues,dispatcher::choice_tests::cancel_choice_relay_failure_after_talk_vanished_is_recorded_at_debug_and_continues,theme_split
dispatcher::tests::cancel_choice_with_mismatched_or_empty_slot_is_discarded_as_stale,dispatcher::choice_tests::cancel_choice_with_mismatched_or_empty_slot_is_discarded_as_stale,theme_split
dispatcher::tests::choice_waiting_before_any_tick_is_defended_with_warning_and_not_forwarded,dispatcher::choice_tests::choice_waiting_before_any_tick_is_defended_with_warning_and_not_forwarded,theme_split
dispatcher::tests::choice_waiting_converts_elapsed_secs_to_ms_from_the_tick_base_and_forwards_to_kanade,dispatcher::choice_tests::choice_waiting_converts_elapsed_secs_to_ms_from_the_tick_base_and_forwards_to_kanade,theme_split
dispatcher::tests::choice_waiting_converts_to_dispatcher_msg_without_loss,dispatcher::slot_tests::choice_waiting_converts_to_dispatcher_msg_without_loss,theme_split
dispatcher::tests::choice_waiting_forward_failure_after_kanade_stopped_is_recorded_at_debug_and_continues,dispatcher::choice_tests::choice_waiting_forward_failure_after_kanade_stopped_is_recorded_at_debug_and_continues,theme_split
dispatcher::tests::choice_waiting_with_mismatched_or_empty_slot_is_discarded_as_stale,dispatcher::choice_tests::choice_waiting_with_mismatched_or_empty_slot_is_discarded_as_stale,theme_split
dispatcher::tests::close_while_active_closes_and_joins_active_talk_before_stopping_dispatcher,dispatcher::slot_tests::close_while_active_closes_and_joins_active_talk_before_stopping_dispatcher,theme_split
dispatcher::tests::explicit_stale_done_after_replacement_is_discarded_without_disturbing_current_slot,dispatcher::slot_tests::explicit_stale_done_after_replacement_is_discarded_without_disturbing_current_slot,theme_split
dispatcher::tests::menu_talk_cancel_choice_ends_talk_and_interrupted_talkdone_reaches_kanade,dispatcher::choice_tests::menu_talk_cancel_choice_ends_talk_and_interrupted_talkdone_reaches_kanade,theme_split
dispatcher::tests::menu_talk_choice_waiting_reaches_kanade_and_resolve_resumes_it_to_completion,dispatcher::choice_tests::menu_talk_choice_waiting_reaches_kanade_and_resolve_resumes_it_to_completion,theme_split
dispatcher::tests::natural_completion_forwards_talkdone_and_clears_slot_for_next_start,dispatcher::slot_tests::natural_completion_forwards_talkdone_and_clears_slot_for_next_start,theme_split
dispatcher::tests::resolve_choice_relay_failure_after_talk_vanished_is_recorded_at_debug_and_continues,dispatcher::choice_tests::resolve_choice_relay_failure_after_talk_vanished_is_recorded_at_debug_and_continues,theme_split
dispatcher::tests::resolve_choice_relays_id_to_matching_talk_without_touching_slot_or_base,dispatcher::choice_tests::resolve_choice_relays_id_to_matching_talk_without_touching_slot_or_base,theme_split
dispatcher::tests::resolve_choice_with_mismatched_or_empty_slot_is_discarded_as_stale,dispatcher::choice_tests::resolve_choice_with_mismatched_or_empty_slot_is_discarded_as_stale,theme_split
dispatcher::tests::start_then_start_replaces_active_talk_and_discards_stale_done_from_replaced_talk,dispatcher::slot_tests::start_then_start_replaces_active_talk_and_discards_stale_done_from_replaced_talk,theme_split
dispatcher::tests::system_vars_provider_is_invoked_and_frozen_per_talk_start,dispatcher::slot_tests::system_vars_provider_is_invoked_and_frozen_per_talk_start,theme_split
dispatcher::tests::talk_command_converts_to_dispatcher_msg_for_every_variant,dispatcher::slot_tests::talk_command_converts_to_dispatcher_msg_for_every_variant,theme_split
dispatcher::tests::tick_relay_converts_absolute_now_to_elapsed_seconds_from_first_tick,dispatcher::slot_tests::tick_relay_converts_absolute_now_to_elapsed_seconds_from_first_tick,theme_split
