old_fqn,new_fqn,reason
schedule::boot::tests::baseware_version_status_reflects_greeting_tracking,schedule::boot::sequence_tests::baseware_version_status_reflects_greeting_tracking,theme_split
schedule::boot::tests::boot_active_talk_records_started_script,schedule::boot::reply_branch_tests::boot_active_talk_records_started_script,theme_split
schedule::boot::tests::boot_greeting_talk_carries_epilogue,schedule::boot::reply_branch_tests::boot_greeting_talk_carries_epilogue,theme_split
schedule::boot::tests::boot_greeting_talkdone_correlates_without_unknown_error,schedule::boot::sequence_tests::boot_greeting_talkdone_correlates_without_unknown_error,theme_split
schedule::boot::tests::boot_main_no_content_emits_no_talk,schedule::boot::sequence_tests::boot_main_no_content_emits_no_talk,theme_split
schedule::boot::tests::boot_talk_ids_are_unique_and_monotonic,schedule::boot::sequence_tests::boot_talk_ids_are_unique_and_monotonic,theme_split
schedule::boot::tests::boot_type_value_skips_onboot_and_starts_talk,schedule::boot::sequence_tests::boot_type_value_skips_onboot_and_starts_talk,theme_split
schedule::boot::tests::close_request_during_boot_records_pending_only,schedule::boot::sequence_tests::close_request_during_boot_records_pending_only,theme_split
schedule::boot::tests::first_boot_204_204_with_epilogue_emits_epilogue_only_tracked_talk,schedule::boot::reply_branch_tests::first_boot_204_204_with_epilogue_emits_epilogue_only_tracked_talk,theme_split
schedule::boot::tests::first_boot_true_204_falls_through_to_onboot,schedule::boot::reply_branch_tests::first_boot_true_204_falls_through_to_onboot,theme_split
schedule::boot::tests::full_boot_sequence_carries_greeting_talk_into_steady,schedule::boot::sequence_tests::full_boot_sequence_carries_greeting_talk_into_steady,theme_split
schedule::boot::tests::normal_204_with_empty_epilogue_emits_no_talk,schedule::boot::reply_branch_tests::normal_204_with_empty_epilogue_emits_no_talk,theme_split
schedule::boot::tests::onfirstboot_ref0_reflects_config_vanish_count,schedule::boot::reply_branch_tests::onfirstboot_ref0_reflects_config_vanish_count,theme_split
schedule::boot::tests::pending_close_survives_boot_completion,schedule::boot::sequence_tests::pending_close_survives_boot_completion,theme_split
schedule::boot::tests::prefetch_emits_fixed_completion_log_exactly_once,schedule::boot::reply_branch_tests::prefetch_emits_fixed_completion_log_exactly_once,theme_split
schedule::boot::tests::prefetch_failure_continues_boot_not_fault,schedule::boot::reply_branch_tests::prefetch_failure_continues_boot_not_fault,theme_split
schedule::boot::tests::prefetch_first_boot_false_skips_onfirstboot_and_starts_from_onboot,schedule::boot::reply_branch_tests::prefetch_first_boot_false_skips_onfirstboot_and_starts_from_onboot,theme_split
schedule::boot::tests::prefetch_maps_outcomes_to_resource_outcome,schedule::boot::reply_branch_tests::prefetch_maps_outcomes_to_resource_outcome,theme_split
schedule::boot::tests::prefetch_username_get_is_issued_once_between_initialize_and_firstboot,schedule::boot::reply_branch_tests::prefetch_username_get_is_issued_once_between_initialize_and_firstboot,theme_split
schedule::boot::tests::prefetch_value_does_not_produce_a_talk,schedule::boot::reply_branch_tests::prefetch_value_does_not_produce_a_talk,theme_split
schedule::steady::tests::boot_phase_tick_emits_no_second_change,schedule::steady::flow_tests::boot_phase_tick_emits_no_second_change,theme_split
schedule::steady::tests::canonical_choice_emits_choice_select_ex_with_canonical_layout,schedule::steady::choice_tests::canonical_choice_emits_choice_select_ex_with_canonical_layout,theme_split
schedule::steady::tests::canonical_two_stage_204_yields_single_resolve_and_no_start,schedule::steady::choice_tests::canonical_two_stage_204_yields_single_resolve_and_no_start,theme_split
schedule::steady::tests::canonical_value_at_first_stage_skips_the_remaining_stage,schedule::steady::choice_tests::canonical_value_at_first_stage_skips_the_remaining_stage,theme_split
schedule::steady::tests::cascade_failed_at_last_stage_resolves_without_start,schedule::steady::choice_tests::cascade_failed_at_last_stage_resolves_without_start,theme_split
schedule::steady::tests::cascade_failed_at_last_stage_via_step_resolves_and_continues,schedule::steady::choice_timeout_tests::cascade_failed_at_last_stage_via_step_resolves_and_continues,theme_split
schedule::steady::tests::cascade_failed_is_treated_as_no_content_stage_advance,schedule::steady::choice_tests::cascade_failed_is_treated_as_no_content_stage_advance,theme_split
schedule::steady::tests::cascade_failed_via_step_does_not_fall_into_unloading_fault,schedule::steady::choice_timeout_tests::cascade_failed_via_step_does_not_fall_into_unloading_fault,theme_split
schedule::steady::tests::cascade_no_content_advances_to_choice_select_stage,schedule::steady::choice_tests::cascade_no_content_advances_to_choice_select_stage,theme_split
schedule::steady::tests::cascade_no_content_at_last_stage_resolves_without_start,schedule::steady::choice_tests::cascade_no_content_at_last_stage_resolves_without_start,theme_split
schedule::steady::tests::cascade_reply_does_not_reach_the_dd6_defense_arm,schedule::steady::choice_tests::cascade_reply_does_not_reach_the_dd6_defense_arm,theme_split
schedule::steady::tests::cascade_stage_gets_carry_choosing,schedule::steady::choice_tests::cascade_stage_gets_carry_choosing,theme_split
schedule::steady::tests::cascade_value_emits_resolve_then_start_in_this_order,schedule::steady::choice_tests::cascade_value_emits_resolve_then_start_in_this_order,theme_split
schedule::steady::tests::choice_after_timeout_cancel_is_rejected,schedule::steady::choice_timeout_tests::choice_after_timeout_cancel_is_rejected,theme_split
schedule::steady::tests::choice_during_cascade_or_timeout_is_rejected_as_busy,schedule::steady::choice_tests::choice_during_cascade_or_timeout_is_rejected_as_busy,theme_split
schedule::steady::tests::choice_happy_path_emits_no_error_level_logs,schedule::steady::choice_timeout_tests::choice_happy_path_emits_no_error_level_logs,theme_split
schedule::steady::tests::choice_timeout_does_not_fire_before_deadline,schedule::steady::choice_timeout_tests::choice_timeout_does_not_fire_before_deadline,theme_split
schedule::steady::tests::choice_timeout_failed_is_treated_as_no_content_cancel,schedule::steady::choice_timeout_tests::choice_timeout_failed_is_treated_as_no_content_cancel,theme_split
schedule::steady::tests::choice_timeout_fires_at_deadline_with_script_ref0_and_suppresses_pump,schedule::steady::choice_timeout_tests::choice_timeout_fires_at_deadline_with_script_ref0_and_suppresses_pump,theme_split
schedule::steady::tests::choice_timeout_fires_when_tick_overshoots_deadline,schedule::steady::choice_timeout_tests::choice_timeout_fires_when_tick_overshoots_deadline,theme_split
schedule::steady::tests::choice_timeout_never_fires_for_indefinite_deadline,schedule::steady::choice_timeout_tests::choice_timeout_never_fires_for_indefinite_deadline,theme_split
schedule::steady::tests::choice_timeout_no_content_cancels_choice,schedule::steady::choice_timeout_tests::choice_timeout_no_content_cancels_choice,theme_split
schedule::steady::tests::choice_timeout_value_replaces_talk_via_existing_start_path,schedule::steady::choice_timeout_tests::choice_timeout_value_replaces_talk_via_existing_start_path,theme_split
schedule::steady::tests::choice_with_id_outside_candidates_is_rejected,schedule::steady::choice_tests::choice_with_id_outside_candidates_is_rejected,theme_split
schedule::steady::tests::choice_with_ledger_of_other_talk_is_rejected,schedule::steady::choice_tests::choice_with_ledger_of_other_talk_is_rejected,theme_split
schedule::steady::tests::choice_without_active_talk_is_rejected,schedule::steady::choice_tests::choice_without_active_talk_is_rejected,theme_split
schedule::steady::tests::choice_without_ledger_is_rejected_and_leaves_state_unchanged,schedule::steady::choice_tests::choice_without_ledger_is_rejected_and_leaves_state_unchanged,theme_split
schedule::steady::tests::close_handshake_transition_clears_choice_ledger,schedule::steady::choice_timeout_tests::close_handshake_transition_clears_choice_ledger,theme_split
schedule::steady::tests::close_pending_tick_emits_no_second_change,schedule::steady::flow_tests::close_pending_tick_emits_no_second_change,theme_split
schedule::steady::tests::close_talk_wait_tick_emits_no_second_change,schedule::steady::flow_tests::close_talk_wait_tick_emits_no_second_change,theme_split
schedule::steady::tests::force_quit_clears_choice_ledger,schedule::steady::choice_timeout_tests::force_quit_clears_choice_ledger,theme_split
schedule::steady::tests::mouse_slot_replacement_clears_choice_ledger_and_stale_slot,schedule::steady::choice_timeout_tests::mouse_slot_replacement_clears_choice_ledger_and_stale_slot,theme_split
schedule::steady::tests::named_choice_emits_only_the_named_event,schedule::steady::choice_tests::named_choice_emits_only_the_named_event,theme_split
schedule::steady::tests::non_choice_failed_still_falls_into_unloading_fault,schedule::steady::choice_timeout_tests::non_choice_failed_still_falls_into_unloading_fault,theme_split
schedule::steady::tests::one_choice_yields_at_most_one_cascade_resolve_and_start,schedule::steady::choice_tests::one_choice_yields_at_most_one_cascade_resolve_and_start,theme_split
schedule::steady::tests::pump_resumes_on_the_tick_after_choice_timeout_fired,schedule::steady::choice_timeout_tests::pump_resumes_on_the_tick_after_choice_timeout_fired,theme_split
schedule::steady::tests::shiori_down_clears_choice_ledger,schedule::steady::choice_timeout_tests::shiori_down_clears_choice_ledger,theme_split
schedule::steady::tests::steady_mouse_with_pending_close_emits_no_get,schedule::steady::flow_tests::steady_mouse_with_pending_close_emits_no_get,theme_split
schedule::steady::tests::steady_none_close_request_begins_handshake_now,schedule::steady::flow_tests::steady_none_close_request_begins_handshake_now,theme_split
schedule::steady::tests::steady_none_mouse_double_click_left_emits_get_ref5_zero,schedule::steady::flow_tests::steady_none_mouse_double_click_left_emits_get_ref5_zero,theme_split
schedule::steady::tests::steady_none_mouse_double_click_right_emits_get_ref5_one,schedule::steady::flow_tests::steady_none_mouse_double_click_right_emits_get_ref5_one,theme_split
schedule::steady::tests::steady_none_mouse_move_emits_get_and_keeps_phase,schedule::steady::flow_tests::steady_none_mouse_move_emits_get_and_keeps_phase,theme_split
schedule::steady::tests::steady_none_mouse_no_content_starts_no_talk,schedule::steady::flow_tests::steady_none_mouse_no_content_starts_no_talk,theme_split
schedule::steady::tests::steady_none_mouse_value_starts_talk_with_mouse_origin,schedule::steady::flow_tests::steady_none_mouse_value_starts_talk_with_mouse_origin,theme_split
schedule::steady::tests::steady_none_no_content_starts_no_talk,schedule::steady::flow_tests::steady_none_no_content_starts_no_talk,theme_split
schedule::steady::tests::steady_none_tick_emits_get_and_updates_last_now,schedule::steady::flow_tests::steady_none_tick_emits_get_and_updates_last_now,theme_split
schedule::steady::tests::steady_none_tick_with_pending_close_begins_handshake,schedule::steady::flow_tests::steady_none_tick_with_pending_close_begins_handshake,theme_split
