old_fqn,new_fqn,reason
shell::decode_tests::alias_ids_preserve_order,shell::decode_tests::alias_tests::alias_ids_preserve_order,theme_split
shell::decode_tests::alias_single_id_is_mapped,shell::decode_tests::alias_tests::alias_single_id_is_mapped,theme_split
shell::decode_tests::alias_with_empty_value_yields_empty_ids,shell::decode_tests::alias_tests::alias_with_empty_value_yields_empty_ids,theme_split
shell::decode_tests::animation_bind_interval_with_single_pattern,shell::decode_tests::animation_tests::animation_bind_interval_with_single_pattern,theme_split
shell::decode_tests::animation_bind_random_interval_parses_k,shell::decode_tests::animation_tests::animation_bind_random_interval_parses_k,theme_split
shell::decode_tests::animation_random_interval_parses_k,shell::decode_tests::animation_tests::animation_random_interval_parses_k,theme_split
shell::decode_tests::animation_without_interval_defaults_to_bind,shell::decode_tests::animation_tests::animation_without_interval_defaults_to_bind,theme_split
shell::decode_tests::append_animation_reuses_sparse_and_negative_sentinel_aggregation,shell::decode_tests::append_tests::append_animation_reuses_sparse_and_negative_sentinel_aggregation,theme_split
shell::decode_tests::append_collision_uses_same_representation_as_surface,shell::decode_tests::append_tests::append_collision_uses_same_representation_as_surface,theme_split
shell::decode_tests::append_header_only_captures_single_target_and_animation,shell::decode_tests::append_tests::append_header_only_captures_single_target_and_animation,theme_split
shell::decode_tests::append_inner_element_and_multi_range_header_are_transcribed,shell::decode_tests::transcription_gap_tests::append_inner_element_and_multi_range_header_are_transcribed,theme_split
shell::decode_tests::append_mixed_targets_with_collision_are_captured,shell::decode_tests::append_tests::append_mixed_targets_with_collision_are_captured,theme_split
shell::decode_tests::append_range_is_not_expanded,shell::decode_tests::append_tests::append_range_is_not_expanded,theme_split
shell::decode_tests::append_single_enumeration_targets,shell::decode_tests::append_tests::append_single_enumeration_targets,theme_split
shell::decode_tests::base_method_pattern_row_is_transcribed_not_dropped,shell::decode_tests::method_matrix_tests::base_method_pattern_row_is_transcribed_not_dropped,theme_split
