old_fqn,new_fqn,reason
compile::tests::append_epilogue_appends_carrier_at_tail_horizon_without_extending,compile::sheet_tests::append_epilogue_appends_carrier_at_tail_horizon_without_extending,theme_split
compile::tests::append_epilogue_empty_is_identity,compile::sheet_tests::append_epilogue_empty_is_identity,theme_split
compile::tests::append_epilogue_maps_each_command_to_one_carrier_cue,compile::sheet_tests::append_epilogue_maps_each_command_to_one_carrier_cue,theme_split
compile::tests::append_epilogue_on_empty_sheet_yields_single_cue_at_zero,compile::sheet_tests::append_epilogue_on_empty_sheet_yields_single_cue_at_zero,theme_split
compile::tests::append_epilogue_stable_sorts_after_same_time_barrier,compile::sheet_tests::append_epilogue_stable_sorts_after_same_time_barrier,theme_split
compile::tests::balloon_surface_arg_is_transcribed_opaquely,compile::arm_tests::balloon_surface_arg_is_transcribed_opaquely,theme_split
compile::tests::bare_quit_yields_empty_sheet_with_quit_end,compile::sheet_tests::bare_quit_yields_empty_sheet_with_quit_end,theme_split
compile::tests::barrier_is_placed_at_final_offset_after_leading_text,compile::arm_tests::barrier_is_placed_at_final_offset_after_leading_text,theme_split
compile::tests::catch_all_ignored_set_is_raw_only,compile::arm_tests::catch_all_ignored_set_is_raw_only,theme_split
compile::tests::choice_and_cursor_arms_map_menu_fragment_in_description_order,compile::arm_tests::choice_and_cursor_arms_map_menu_fragment_in_description_order,theme_split
compile::tests::choice_references_are_preserved_in_order,compile::arm_tests::choice_references_are_preserved_in_order,theme_split
compile::tests::clear_all_is_prepended_once_regardless_of_scope_count,compile::sheet_tests::clear_all_is_prepended_once_regardless_of_scope_count,theme_split
compile::tests::compile_is_deterministic_for_identical_input,compile::sheet_tests::compile_is_deterministic_for_identical_input,theme_split
compile::tests::compiled_start_times_are_finite_non_negative_non_decreasing,compile::sheet_tests::compiled_start_times_are_finite_non_negative_non_decreasing,theme_split
compile::tests::cue_after_text_fires_after_text_playback_completes,compile::sheet_tests::cue_after_text_fires_after_text_playback_completes,theme_split
compile::tests::cursor_double_empty_still_emits,compile::arm_tests::cursor_double_empty_still_emits,theme_split
