old_fqn,new_fqn,reason
actor::tests::balloon_invalid_numeric_errors_once_no_emit,actor::dispatch_tests::balloon_invalid_numeric_errors_once_no_emit,theme_split
actor::tests::balloon_minus_one_emits_hideballoon,actor::dispatch_tests::balloon_minus_one_emits_hideballoon,theme_split
actor::tests::balloon_name_form_warns_once_no_emit,actor::dispatch_tests::balloon_name_form_warns_once_no_emit,theme_split
actor::tests::balloon_numeric_key_emits_showballoon,actor::dispatch_tests::balloon_numeric_key_emits_showballoon,theme_split
actor::tests::balloon_same_surface_twice_emits_once,actor::dispatch_tests::balloon_same_surface_twice_emits_once,theme_split
actor::tests::bind_apply_on_hidden_scope_state_only_no_emit,actor::bind_loop_tests::bind_apply_on_hidden_scope_state_only_no_emit,theme_split
actor::tests::bind_apply_on_shown_emits_show_and_info_marker,actor::bind_loop_tests::bind_apply_on_shown_emits_show_and_info_marker,theme_split
actor::tests::bind_category_wide_form_warns_no_emit,actor::bind_loop_tests::bind_category_wide_form_warns_no_emit,theme_split
actor::tests::bind_malformed_errors_no_emit,actor::bind_loop_tests::bind_malformed_errors_no_emit,theme_split
actor::tests::bind_mustselect_second_on_replaces_prior_part_in_category,actor::bind_loop_tests::bind_mustselect_second_on_replaces_prior_part_in_category,theme_split
actor::tests::bind_name_gate_other_name_is_benign_debug_no_emit,actor::bind_loop_tests::bind_name_gate_other_name_is_benign_debug_no_emit,theme_split
actor::tests::bind_non_mustselect_accumulates_via_actor,actor::bind_loop_tests::bind_non_mustselect_accumulates_via_actor,theme_split
actor::tests::bind_noncanonical_addressee_severity_split,actor::bind_loop_tests::bind_noncanonical_addressee_severity_split,theme_split
actor::tests::bind_scope_unmapped_warns_no_emit,actor::bind_loop_tests::bind_scope_unmapped_warns_no_emit,theme_split
actor::tests::bind_toggle_form_warns_no_emit,actor::bind_loop_tests::bind_toggle_form_warns_no_emit,theme_split
actor::tests::bind_unresolvable_errors_no_emit,actor::bind_loop_tests::bind_unresolvable_errors_no_emit,theme_split
actor::tests::close_stops_normally,actor::dispatch_tests::close_stops_normally,theme_split
actor::tests::cue_sink_emit_forwards_cue_to_inbox,actor::dispatch_tests::cue_sink_emit_forwards_cue_to_inbox,theme_split
actor::tests::disconnect_stops_normally,actor::dispatch_tests::disconnect_stops_normally,theme_split
actor::tests::emit_after_actor_stopped_logs_no_panic,actor::dispatch_tests::emit_after_actor_stopped_logs_no_panic,theme_split
actor::tests::emit_after_receiver_gone_logs_no_panic,actor::dispatch_tests::emit_after_receiver_gone_logs_no_panic,theme_split
actor::tests::emit_forwards_cue_to_inbox,actor::dispatch_tests::emit_forwards_cue_to_inbox,theme_split
actor::tests::non_shell_and_wait_are_no_op_then_shell_cue_still_emits,actor::dispatch_tests::non_shell_and_wait_are_no_op_then_shell_cue_still_emits,theme_split
actor::tests::non_shell_broadcast_reception_is_benign_debug_no_warn_error,actor::dispatch_tests::non_shell_broadcast_reception_is_benign_debug_no_warn_error,theme_split
actor::tests::numeric_boundary_is_unresolved,actor::dispatch_tests::numeric_boundary_is_unresolved,theme_split
actor::tests::seriko_sink_satisfies_cue_sink_contract,actor::dispatch_tests::seriko_sink_satisfies_cue_sink_contract,theme_split
actor::tests::shell_and_balloon_recorded_independently,actor::dispatch_tests::shell_and_balloon_recorded_independently,theme_split
actor::tests::single_cue_emits_one_display_command,actor::dispatch_tests::single_cue_emits_one_display_command,theme_split
actor::tests::tick_loop_tests::emote_surface_change_resets_loop_playback,actor::bind_loop_tests::tick_loop_tests::emote_surface_change_resets_loop_playback,theme_split
actor::tests::tick_loop_tests::send_tick_after_actor_stopped_logs_debug_no_panic,actor::bind_loop_tests::tick_loop_tests::send_tick_after_actor_stopped_logs_debug_no_panic,theme_split
