old_fqn,new_fqn,reason
placement::persist::tests::apply_balloon_offset_absent_keeps_default_following_char,placement::persist::restore_tests::apply_balloon_offset_absent_keeps_default_following_char,theme_split
placement::persist::tests::apply_empty_entries_is_identity,placement::persist::restore_tests::apply_empty_entries_is_identity,theme_split
placement::persist::tests::apply_is_deterministic,placement::persist::restore_tests::apply_is_deterministic,theme_split
placement::persist::tests::apply_matches_scope_usize_to_persist_u32,placement::persist::restore_tests::apply_matches_scope_usize_to_persist_u32,theme_split
placement::persist::tests::apply_one_axis_corrupt_keeps_default,placement::persist::restore_tests::apply_one_axis_corrupt_keeps_default,theme_split
placement::persist::tests::apply_saved_balloon_offset_is_char_top_left_basis_bottom,placement::persist::restore_tests::apply_saved_balloon_offset_is_char_top_left_basis_bottom,theme_split
placement::persist::tests::apply_saved_balloon_offset_is_derived_free,placement::persist::restore_tests::apply_saved_balloon_offset_is_derived_free,theme_split
placement::persist::tests::apply_saved_pos_is_reprojected_into_work_area,placement::persist::restore_tests::apply_saved_pos_is_reprojected_into_work_area,theme_split
placement::persist::tests::apply_saved_window_pos_takes_priority_over_default,placement::persist::restore_tests::apply_saved_window_pos_takes_priority_over_default,theme_split
placement::persist::tests::apply_scopes_do_not_cross,placement::persist::restore_tests::apply_scopes_do_not_cross,theme_split
placement::persist::tests::balloon_offset_entries_builds_balloonoffset_x_y_pairs,placement::persist::entries_tests::balloon_offset_entries_builds_balloonoffset_x_y_pairs,theme_split
placement::persist::tests::balloon_offset_entries_carries_scope,placement::persist::entries_tests::balloon_offset_entries_carries_scope,theme_split
placement::persist::tests::balloon_offset_entries_persist_raw_top_left_offset,placement::persist::restore_tests::balloon_offset_entries_persist_raw_top_left_offset,theme_split
placement::persist::tests::balloon_offset_restores_exactly_at_same_size_and_stays_window_relative_bottom,placement::persist::restore_tests::balloon_offset_restores_exactly_at_same_size_and_stays_window_relative_bottom,theme_split
placement::persist::tests::balloon_offset_round_trip_is_identity_across_anchors_and_size_changes,placement::persist::restore_tests::balloon_offset_round_trip_is_identity_across_anchors_and_size_changes,theme_split
placement::persist::tests::char_pos_entries_builds_windowpos_x_y_pairs,placement::persist::entries_tests::char_pos_entries_builds_windowpos_x_y_pairs,theme_split
placement::persist::tests::char_pos_entries_carries_scope_and_negative_values,placement::persist::entries_tests::char_pos_entries_carries_scope_and_negative_values,theme_split
placement::persist::tests::entries_values_round_trip_through_parse_px,placement::persist::entries_tests::entries_values_round_trip_through_parse_px,theme_split
placement::persist::tests::load_restored_state_absent_file_is_empty,placement::persist::io_wiring_tests::load_restored_state_absent_file_is_empty,theme_split
placement::persist::tests::load_restored_state_mount_resolve_failure_is_empty,placement::persist::io_wiring_tests::load_restored_state_mount_resolve_failure_is_empty,theme_split
placement::persist::tests::load_restored_state_reads_planted_sylphya_toml,placement::persist::io_wiring_tests::load_restored_state_reads_planted_sylphya_toml,theme_split
placement::persist::tests::parse_px_is_deterministic,placement::persist::entries_tests::parse_px_is_deterministic,theme_split
placement::persist::tests::parse_px_non_numeric_or_empty_yields_none,placement::persist::entries_tests::parse_px_non_numeric_or_empty_yields_none,theme_split
placement::persist::tests::parse_px_numeric_string_yields_some,placement::persist::entries_tests::parse_px_numeric_string_yields_some,theme_split
placement::persist::tests::parse_px_tolerates_surrounding_whitespace,placement::persist::entries_tests::parse_px_tolerates_surrounding_whitespace,theme_split
placement::persist::tests::persist_entries_with_wiring_write_through_to_ghost_scope,placement::persist::io_wiring_tests::persist_entries_with_wiring_write_through_to_ghost_scope,theme_split
placement::persist::tests::persist_entries_without_wiring_is_noop_and_never_panics,placement::persist::io_wiring_tests::persist_entries_without_wiring_is_noop_and_never_panics,theme_split
placement::persist::tests::project_restore_bottom_already_anchored_inside_is_identity,placement::persist::restore_tests::project_restore_bottom_already_anchored_inside_is_identity,theme_split
placement::persist::tests::project_restore_bottom_partially_visible_keeps_saved_x,placement::persist::restore_tests::project_restore_bottom_partially_visible_keeps_saved_x,theme_split
placement::persist::tests::project_restore_bottom_x_outside_clamps_into_work_area,placement::persist::restore_tests::project_restore_bottom_x_outside_clamps_into_work_area,theme_split
placement::persist::tests::project_restore_bottom_y_outside_snaps_bottom_and_preserves_x,placement::persist::restore_tests::project_restore_bottom_y_outside_snaps_bottom_and_preserves_x,theme_split
placement::persist::tests::project_restore_empty_snapshot_is_identity,placement::persist::restore_tests::project_restore_empty_snapshot_is_identity,theme_split
placement::persist::tests::project_restore_free_clamps_both_axes_with_identity_projection,placement::persist::restore_tests::project_restore_free_clamps_both_axes_with_identity_projection,theme_split
placement::persist::tests::project_restore_free_inside_work_area_is_identity,placement::persist::restore_tests::project_restore_free_inside_work_area_is_identity,theme_split
placement::persist::tests::project_restore_left_pins_left_edge_and_clamps_y,placement::persist::restore_tests::project_restore_left_pins_left_edge_and_clamps_y,theme_split
placement::persist::tests::project_restore_off_all_monitors_uses_nearest_work_area,placement::persist::restore_tests::project_restore_off_all_monitors_uses_nearest_work_area,theme_split
placement::persist::tests::restored_balloon_offset_is_raw_saved_value_for_all_anchors,placement::persist::restore_tests::restored_balloon_offset_is_raw_saved_value_for_all_anchors,theme_split
placement::resolver::tests::anchor_mixed_scopes_and_missing_config_defaults_to_bottom,placement::resolver::resolve_tests::anchor_mixed_scopes_and_missing_config_defaults_to_bottom,theme_split
placement::resolver::tests::anchor_propagates_five_values_from_resolved_alignment,placement::resolver::resolve_tests::anchor_propagates_five_values_from_resolved_alignment,theme_split
placement::resolver::tests::anchor_propagates_through_build_placement_config_cascade,placement::resolver::resolve_tests::anchor_propagates_through_build_placement_config_cascade,theme_split
placement::resolver::tests::from_alignment_maps_all_branches,placement::resolver::from_alignment_tests::from_alignment_maps_all_branches,theme_split
placement::resolver::tests::from_alignment_normalizes_case_and_whitespace,placement::resolver::from_alignment_tests::from_alignment_normalizes_case_and_whitespace,theme_split
placement::resolver::tests::postconditions_order_length_and_offset_identity,placement::resolver::resolve_tests::postconditions_order_length_and_offset_identity,theme_split
placement::resolver::tests::t_r1_bottom_anchors_bottom_right,placement::resolver::resolve_tests::t_r1_bottom_anchors_bottom_right,theme_split
placement::resolver::tests::t_r1_bottom_holds_on_offset_work_area,placement::resolver::resolve_tests::t_r1_bottom_holds_on_offset_work_area,theme_split
placement::resolver::tests::t_r1_missing_scope_config_defaults_to_bottom_flush,placement::resolver::resolve_tests::t_r1_missing_scope_config_defaults_to_bottom_flush,theme_split
