old_fqn,new_fqn,reason
runtime_test::barrier_free_sheet_completes_at_last_cue,runtime_test::occupancy_horizon_tests::barrier_free_sheet_completes_at_last_cue,theme_split
runtime_test::broadcast_delivers_each_cue_once_even_when_ticked_repeatedly,runtime_test::broadcast_tests::broadcast_delivers_each_cue_once_even_when_ticked_repeatedly,theme_split
runtime_test::broadcast_delivers_identical_stream_to_every_sink_at_same_absolute_time,runtime_test::broadcast_tests::broadcast_delivers_identical_stream_to_every_sink_at_same_absolute_time,theme_split
runtime_test::broadcast_does_not_redeliver_across_timeout_barrier_continuation,runtime_test::broadcast_tests::broadcast_does_not_redeliver_across_timeout_barrier_continuation,theme_split
runtime_test::broadcast_stops_at_barrier_and_resumes_delivery_after_resolve,runtime_test::broadcast_tests::broadcast_stops_at_barrier_and_resumes_delivery_after_resolve,theme_split
runtime_test::choice_bag_coexists_with_delivery_stream_and_is_invariant_across_reticks,runtime_test::choice_delivery_tests::choice_bag_coexists_with_delivery_stream_and_is_invariant_across_reticks,theme_split
runtime_test::choice_interleaves_with_newline_and_cursor_in_delivery_stream,runtime_test::choice_delivery_tests::choice_interleaves_with_newline_and_cursor_in_delivery_stream,theme_split
runtime_test::choices_accumulate_across_ticks_before_choice_barrier,runtime_test::choice_delivery_tests::choices_accumulate_across_ticks_before_choice_barrier,theme_split
runtime_test::from_schedule_is_equivalent_to_from_sheet,runtime_test::barrier_tests::from_schedule_is_equivalent_to_from_sheet,theme_split
runtime_test::is_completed_is_gated_by_final_text_duration,runtime_test::broadcast_tests::is_completed_is_gated_by_final_text_duration,theme_split
runtime_test::is_completed_is_gated_by_occupancy_horizon_for_trailing_wait,runtime_test::broadcast_tests::is_completed_is_gated_by_occupancy_horizon_for_trailing_wait,theme_split
runtime_test::occupancy_horizon_after_stop_is_the_anchor,runtime_test::occupancy_horizon_tests::occupancy_horizon_after_stop_is_the_anchor,theme_split
runtime_test::occupancy_horizon_is_observable_while_waiting_for_choice,runtime_test::occupancy_horizon_tests::occupancy_horizon_is_observable_while_waiting_for_choice,theme_split
runtime_test::occupancy_horizon_matches_completion_threshold,runtime_test::occupancy_horizon_tests::occupancy_horizon_matches_completion_threshold,theme_split
runtime_test::occupancy_horizon_returns_anchor_plus_relative_horizon,runtime_test::occupancy_horizon_tests::occupancy_horizon_returns_anchor_plus_relative_horizon,theme_split
runtime_test::occupancy_horizon_without_anchor_is_the_relative_horizon,runtime_test::occupancy_horizon_tests::occupancy_horizon_without_anchor_is_the_relative_horizon,theme_split
runtime_test::player_reaches_completed_only_at_occupancy_horizon,runtime_test::occupancy_horizon_tests::player_reaches_completed_only_at_occupancy_horizon,theme_split
runtime_test::resolve_on_non_waiting_state_is_noop,runtime_test::barrier_tests::resolve_on_non_waiting_state_is_noop,theme_split
runtime_test::skip_barrier_force_resumes_from_waiting,runtime_test::barrier_tests::skip_barrier_force_resumes_from_waiting,theme_split
runtime_test::stop_discards_remaining_and_halts_further_delivery,runtime_test::broadcast_tests::stop_discards_remaining_and_halts_further_delivery,theme_split
runtime_test::tick_with_no_registered_sinks_still_advances_and_completes,runtime_test::broadcast_tests::tick_with_no_registered_sinks_still_advances_and_completes,theme_split
runtime_test::timeout_barrier_keeps_playing_and_auto_resolves_by_continued_ticking,runtime_test::barrier_tests::timeout_barrier_keeps_playing_and_auto_resolves_by_continued_ticking,theme_split
runtime_test::wait_for_choice_barrier_preloads_choices_and_resolve_choice_resumes,runtime_test::barrier_tests::wait_for_choice_barrier_preloads_choices_and_resolve_choice_resumes,theme_split
runtime_test::wait_for_input_barrier_stops_and_resolve_click_resumes,runtime_test::barrier_tests::wait_for_input_barrier_stops_and_resolve_click_resumes,theme_split
