"path","total_lines","test_lines","module_count","crate"
"crates/areka/src/placement/follow.rs","8472","6476","1","areka"
"crates/areka-emo-present/src/presenter.rs","5417","4375","1","areka-emo-present"
"crates/areka/src/emo2_boot/frame.rs","4660","3163","1","areka"
"crates/areka-emo-text/src/layout.rs","3294","2545","1","areka-emo-text"
"crates/areka-kanade/src/schedule/steady.rs","3286","2383","1","areka-kanade"
"crates/areka-emo-text/src/viewbox_draw.rs","3090","2305","1","areka-emo-text"
"crates/areka-sakura/src/drive.rs","2808","2278","1","areka-sakura"
"crates/areka-emo-text/src/actor.rs","2967","2109","2","areka-emo-text"
"crates/areka-ghost/tests/ghost/spine_e2e_test.rs","2574","2091","10","areka-ghost"
"crates/areka/src/input_events/balloon.rs","2825","1996","1","areka"
"crates/areka-seriko/src/actor.rs","2331","1847","1","areka-seriko"
"crates/areka-emo-text/src/viewbox.rs","2498","1749","1","areka-emo-text"
"crates/areka-emo-present/src/balloon.rs","2264","1632","1","areka-emo-present"
"crates/areka-sakura/src/compile.rs","1867","1546","1","areka-sakura"
"crates/areka-emo-compose/src/plan.rs","2203","1536","1","areka-emo-compose"
"crates/areka-kanade/src/schedule/mod.rs","2176","1495","2","areka-kanade"
"crates/areka-ghost/src/dispatcher.rs","1856","1436","1","areka-ghost"
"crates/areka/src/placement/mod.rs","1899","1336","1","areka"
"crates/areka-emo-text/src/draw.rs","2293","1330","1","areka-emo-text"
"crates/areka-emo-compose/src/scale.rs","1778","1311","1","areka-emo-compose"
"crates/areka-emo-text/src/choice.rs","1749","1199","3","areka-emo-text"
"crates/areka-emo-text/src/state.rs","1630","1174","1","areka-emo-text"
"crates/areka/src/placement/spawn.rs","1582","1156","1","areka"
"crates/areka-kanade/src/schedule/boot.rs","1406","1118","1","areka-kanade"
"crates/areka/src/placement/persist.rs","1535","1070","1","areka"
"crates/areka-seriko/src/state.rs","1576","1058","1","areka-seriko"
"crates/areka/src/placement/resolver.rs","1306","1011","1","areka"
"crates/areka-ghost/src/runtime.rs","1613","963","1","areka-ghost"
"crates/areka-kanade/src/actor.rs","1318","948","1","areka-kanade"
"crates/areka/src/emo2_boot/move_cue.rs","1634","934","4","areka"
"crates/areka/src/placement/measure.rs","1387","922","1","areka"
"crates/areka-emo-present/src/cache.rs","1100","907","1","areka-emo-present"
"crates/areka/src/main.rs","1842","901","7","areka"
"crates/areka-emo-compose/src/fold.rs","1132","868","1","areka-emo-compose"
"crates/areka-sylphya/src/actor.rs","1587","866","3","areka-sylphya"
"crates/areka/src/emo2_boot/assets.rs","1225","820","1","areka"
"crates/dola/src/cue/command.rs","1089","758","1","dola"
"crates/areka/src/input_events/mod.rs","1164","731","1","areka"
"crates/wintf/src/ecs/window_proc/window_pos.rs","1160","716","1","wintf"
"crates/areka-emo-present/src/scale.rs","876","649","1","areka-emo-present"
"crates/wintf/src/ecs/clickthrough/controller.rs","1092","637","1","wintf"
"crates/areka-kanade/src/shiori/real.rs","903","623","1","areka-kanade"
"crates/wintf/src/ecs/window_proc/dpi_helpers.rs","746","598","1","wintf"
"crates/shiori-host32-helper/src/main.rs","1114","595","4","shiori-host32-helper"
"crates/areka-kanade/src/schedule/events.rs","993","583","1","areka-kanade"
"crates/wintf/src/ecs/layout/systems/monitor_systems.rs","1050","569","1","wintf"
"crates/areka-seriko/src/looper.rs","939","564","1","areka-seriko"
"crates/areka/src/placement/source.rs","819","540","1","areka"
"crates/areka-ghost/src/ticker.rs","823","504","1","areka-ghost"
