"original","base_commit","relocated_count","relocated","exit_code","verdict"
"crates/areka-emo-compose/src/fold.rs","7599c90","1","crates/areka-emo-compose/src/fold_tests.rs","0","MATCH: test fn 24=24 / helper item 17=17 / mod block 1 / files 1"
"crates/areka-emo-compose/src/plan.rs","7599c90","3","crates/areka-emo-compose/src/plan_extent_tests.rs,crates/areka-emo-compose/src/plan_ops_tests.rs,crates/areka-emo-compose/src/plan_test_support.rs","0","MATCH: test fn 40=40 / helper item 19=19 / mod block 1 / files 3"
"crates/areka-emo-compose/src/scale.rs","7599c90","3","crates/areka-emo-compose/src/scale_ratio_tests.rs,crates/areka-emo-compose/src/scale_resample_tests.rs,crates/areka-emo-compose/src/scale_test_support.rs","0","MATCH: test fn 38=38 / helper item 6=6 / mod block 1 / files 3"
"crates/areka-emo-present/src/balloon.rs","60e0b22","4","crates/areka-emo-present/src/balloon_model_tests.rs,crates/areka-emo-present/src/balloon_series_tests.rs,crates/areka-emo-present/src/balloon_target_tests.rs,crates/areka-emo-present/src/balloon_test_support.rs","0","MATCH: test fn 37=37 / helper item 23=23 / mod block 1 / files 4"
"crates/areka-emo-present/src/cache.rs","60e0b22","1","crates/areka-emo-present/src/cache_tests.rs","0","MATCH: test fn 16=16 / helper item 9=9 / mod block 1 / files 1"
"crates/areka-emo-present/src/presenter.rs","91d59e0","8","crates/areka-emo-present/src/presenter_compose_input_tests.rs,crates/areka-emo-present/src/presenter_display_tests.rs,crates/areka-emo-present/src/presenter_dpi_scale_tests.rs,crates/areka-emo-present/src/presenter_fractional_scale_tests.rs,crates/areka-emo-present/src/presenter_read_accessor_tests.rs,crates/areka-emo-present/src/presenter_refresh_and_log_tests.rs,crates/areka-emo-present/src/presenter_resize_report_tests.rs,crates/areka-emo-present/src/presenter_test_support.rs","0","MATCH: test fn 47=47 / helper item 39=39 / mod block 1 / files 8"
"crates/areka-emo-present/src/scale.rs","60e0b22","1","crates/areka-emo-present/src/scale_tests.rs","0","MATCH: test fn 18=18 / helper item 14=14 / mod block 1 / files 1"
"crates/areka-emo-text/src/actor.rs","246ddb9","6","crates/areka-emo-text/src/actor_choice_contract_tests.rs,crates/areka-emo-text/src/actor_clear_atomicity_tests.rs,crates/areka-emo-text/src/actor_runtime_frame_tests.rs,crates/areka-emo-text/src/actor_scale_refresh_tests.rs,crates/areka-emo-text/src/actor_test_support.rs,crates/areka-emo-text/src/actor_tests.rs","0","MATCH: test fn 33=33 / helper item 14=14 / mod block 2 / files 6"
"crates/areka-emo-text/src/choice.rs","246ddb9","3","crates/areka-emo-text/src/choice_decorate_tests.rs,crates/areka-emo-text/src/choice_style_resolve_tests.rs,crates/areka-emo-text/src/choice_tests.rs","0","MATCH: test fn 50=50 / helper item 15=15 / mod block 3 / files 3"
"crates/areka-emo-text/src/draw.rs","246ddb9","3","crates/areka-emo-text/src/draw_format_metrics_tests.rs,crates/areka-emo-text/src/draw_oracle_tests.rs,crates/areka-emo-text/src/draw_test_support.rs","0","MATCH: test fn 29=29 / helper item 19=19 / mod block 1 / files 3"
"crates/areka-emo-text/src/layout.rs","7372699","5","crates/areka-emo-text/src/layout_cursor_tests.rs,crates/areka-emo-text/src/layout_segmented_tests.rs,crates/areka-emo-text/src/layout_test_support.rs,crates/areka-emo-text/src/layout_visible_window_tests.rs,crates/areka-emo-text/src/layout_wrap_tests.rs","0","MATCH: test fn 59=59 / helper item 11=11 / mod block 1 / files 5"
"crates/areka-emo-text/src/state.rs","246ddb9","4","crates/areka-emo-text/src/state_cue_apply_tests.rs,crates/areka-emo-text/src/state_cursor_coord_parse_tests.rs,crates/areka-emo-text/src/state_reveal_tests.rs,crates/areka-emo-text/src/state_test_support.rs","0","MATCH: test fn 59=59 / helper item 9=9 / mod block 1 / files 4"
"crates/areka-emo-text/src/viewbox_draw.rs","7372699","6","crates/areka-emo-text/src/viewbox_draw_choice_hover_tests.rs,crates/areka-emo-text/src/viewbox_draw_frame_render_tests.rs,crates/areka-emo-text/src/viewbox_draw_live_diff_tests.rs,crates/areka-emo-text/src/viewbox_draw_oracle_regression_tests.rs,crates/areka-emo-text/src/viewbox_draw_png_dump_tests.rs,crates/areka-emo-text/src/viewbox_draw_test_support.rs","0","MATCH: test fn 24=24 / helper item 23=23 / mod block 1 / files 6"
